speed_mean,speed_max,speed_std,throttle_mean,throttle_max,throttle_full_pct,brake_mean,brake_applications,rpm_mean,rpm_max,gear_mean,gear_shifts,drs_active_pct,telemetry_points,lap_duration,lap_number,lap_time_seconds,compound,tyre_life,wear_total,stint_id,wear_cumulative,degradation_normalized,baseline_time,predicted_lap_time,scenario
151.0244636100913,271.0,65.21852901716143,46.046600685977204,100.0,30.491803278688522,0.2786885245901639,170,9254.391464652199,11898.0,3.6622950819672133,45,0.0,610,78.816,32.0,78.816,MEDIUM,32.0,75214.25710452597,1,2107722.958441995,0.9999999992980996,78.129,82.03544999725807,Baseline (Standard Tire)
150.52956397681362,273.0,64.81636005106415,46.04277569048038,100.0,29.692832764505116,0.27474402730375425,161,9292.957369537226,11751.0,3.6484641638225255,39,0.0,586,78.946,33.0,78.946,MEDIUM,33.0,70968.67510593207,1,2178691.6335479273,0.9999999996548066,78.129,82.03544999865152,Baseline (Standard Tire)
152.13696572832754,273.0,64.30381760532977,47.19183310539415,100.0,29.850746268656714,0.24212271973466004,146,9360.611273206057,11840.0,3.656716417910448,40,0.0,603,78.044,34.0,78.044,MEDIUM,34.0,71471.31436027157,1,2250162.947908199,0.9999999998310857,78.129,82.03544999934016,Baseline (Standard Tire)
152.53027254290876,272.0,65.45940359220477,46.66476571220853,100.0,29.61730449251248,0.24792013311148087,149,9336.40124610439,11727.0,3.6622296173044924,41,0.0,601,78.024,35.0,78.024,MEDIUM,35.0,73907.85761348483,1,2324070.805521684,0.9999999999193343,78.129,82.03544999968489,Baseline (Standard Tire)
150.76135715358134,272.0,64.30361090234754,45.00044039093444,100.0,30.267558528428097,0.25418060200668896,152,9326.01080525962,11856.0,3.6237458193979935,43,0.0,598,77.974,36.0,77.974,MEDIUM,36.0,70785.89961354429,1,2394856.7051352276,0.9999999999602562,78.129,82.03544999984474,Baseline (Standard Tire)
152.29407796083706,271.0,64.29108191391205,46.67003262281951,100.0,30.993150684931507,0.2585616438356164,151,9363.202328665973,11773.0,3.6780821917808217,43,0.0,584,77.273,37.0,77.273,MEDIUM,37.0,69397.96519766081,1,2464254.6703328886,0.9999999999801447,78.129,82.03544999992245,Baseline (Standard Tire)
152.5107924688084,271.0,64.3713914445052,49.05455733614479,100.0,33.22091062394604,0.224283305227656,133,9359.486094262491,11879.0,3.6492411467116357,40,0.0,593,77.122,38.0,77.122,MEDIUM,38.0,70104.67527773783,1,2534359.3456106265,0.9999999999901504,78.129,82.03544999996153,Baseline (Standard Tire)
153.96277486054444,270.0,64.86322676730812,47.25368169330909,100.0,30.546075085324233,0.2440273037542662,143,9325.500984784727,11719.0,3.7235494880546076,41,0.0,586,76.966,39.0,76.966,MEDIUM,39.0,70728.31256102858,1,2605087.658171655,0.9999999999951443,78.129,82.03544999998103,Baseline (Standard Tire)
153.36120412329953,271.0,64.77437042281645,47.13778840853952,100.0,29.929577464788732,0.2323943661971831,132,9332.176750320683,11775.0,3.693661971830986,44,0.0,568,77.161,40.0,77.161,MEDIUM,40.0,67859.22964787165,1,2672946.8878195267,0.9999999999975365,78.129,82.03544999999038,Baseline (Standard Tire)
154.2677176798552,269.0,64.36621413948458,48.052102455020524,100.0,31.448763250883395,0.24381625441696114,138,9397.14767000114,11757.0,3.7031802120141344,41,0.0,566,76.944,41.0,76.944,MEDIUM,41.0,67211.6216383033,1,2740158.50945783,0.9999999999987421,78.129,82.0354499999951,Baseline (Standard Tire)
